stn,datetime,tre200b0,tre200bn,tre200bx,ure200b0,rre150b0,sre000b0,gre000b0,dkl010b0,fu3010b0,fu3010b1,prestab0
KLO,23/06/2012 01:00,14.3,13.7,14.9,75.9,0.0,0,0,90,2.9,5.0,973.8
KLO,23/06/2012 02:00,13.0,12.6,13.5,81.5,0.0,0,0,333,4.7,7.9,973.9
KLO,23/06/2012 03:00,13.4,12.8,13.7,80.3,0.0,0,0,340,4.7,5.8,974.0
KLO,23/06/2012 04:00,13.0,12.8,13.5,84.2,0.0,0,6,335,5.8,8.6,974.2
KLO,23/06/2012 05:00,13.9,13.6,14.3,82.3,0.0,1,56,333,2.5,5.0,974.4
KLO,23/06/2012 06:00,15.2,14.5,16.1,70.3,0.0,30,229,360,2.9,5.8,974.6
KLO,23/06/2012 07:00,16.3,15.9,16.7,60.5,0.0,53,417,343,5.8,11.9,974.8
KLO,23/06/2012 08:00,17.8,17.0,18.4,59.2,0.0,60,592,333,4.3,10.8,974.7
KLO,23/06/2012 09:00,19.1,18.8,19.7,50.9,0.0,60,743,354,4.3,16.2,974.5
KLO,23/06/2012 10:00,20.0,19.4,20.5,47.5,0.0,52,788,304,3.6,14.0,974.5
KLO,23/06/2012 11:00,20.7,20.2,21.4,47.5,0.0,33,699,321,5.8,16.2,974.4
KLO,23/06/2012 12:00,21.7,20.5,22.5,45.7,0.0,49,862,275,4.7,18.0,973.9
KLO,23/06/2012 13:00,21.8,21.0,22.9,40.3,0.0,40,721,332,6.5,18.0,973.6
KLO,23/06/2012 14:00,22.9,22.1,23.5,38.4,0.0,60,867,297,7.9,21.6,973.4
KLO,23/06/2012 15:00,23.0,22.7,23.4,39.2,0.0,58,727,328,6.8,17.6,973.2
KLO,23/06/2012 16:00,23.1,22.7,23.6,37.8,0.0,60,597,285,9.0,21.2,972.9
KLO,23/06/2012 17:00,22.7,22.5,23.0,39.7,0.0,60,422,317,7.6,16.9,972.6
KLO,23/06/2012 18:00,22.1,21.5,22.5,46.1,0.0,60,246,306,8.3,16.6,972.6
KLO,23/06/2012 19:00,20.0,18.5,21.2,57.5,0.0,56,86,315,7.2,11.5,972.6
KLO,23/06/2012 20:00,18.3,16.9,19.5,60.7,0.0,0,5,318,4.7,9.7,972.6
KLO,23/06/2012 21:00,16.2,15.5,16.7,66.9,0.0,0,0,343,6.5,9.4,972.8
KLO,23/06/2012 22:00,14.6,13.4,15.9,73.3,0.0,0,0,311,3.6,8.3,972.6
KLO,23/06/2012 23:00,13.3,12.4,14.1,79.9,0.0,0,0,90,1.4,9.0,972.4
